gene_name	seqname	start	end
USP17L30	chr4	9348129	9379721
DEFB131A	chr4	9429414	9465666
SLC2A9	chr4	9756153	10069936
DRD5	chr4	9766634	9799009
WDR1	chr4	10053089	10131972
ZNF518B	chr4	10424880	10472426
CLNK	chr4	10471395	10699768
HS3ST1	chr4	11378150	11444564
RAB28	chr4	13346354	13499365
NKX3-2	chr4	13525830	13559508
BOD1L1	chr4	13553738	13642725
CPEB2	chr4	14987481	15085153
C1QTNF7	chr4	15324818	15461167
CC2D2A	chr4	15454865	15616552
FBXL5	chr4	15589381	15696679
FAM200B	chr4	15666662	15705447
BST1	chr4	15688065	15753313
CD38	chr4	15763275	15868232
FGFBP1	chr4	15920577	15953740
FGFBP2	chr4	15945245	15984309
PROM1	chr4	15948076	16099378
TAPT1	chr4	16145505	16242410
LDB2	chr4	16486541	16913678
QDPR	chr4	17445261	17527206
CLRN2	chr4	17500165	17542104
LAP3	chr4	17562198	17622972
MED28	chr4	17599641	17649105
FAM184B	chr4	17614306	17796621
DCAF16	chr4	17785655	17825758
NCAPG	chr4	17795979	17859865
LCORL	chr4	17826187	18036876
SLIT2	chr4	20236905	20635561
PACRGL	chr4	20681282	20767907
KCNIP4	chr4	20713606	21963772
ADGRA3	chr4	22330071	22531066
GBA3	chr4	22677914	22834575
PPARGC1A	chr4	23740041	23919089
DHX15	chr4	24502441	24599554
SOD3	chr4	24774912	24815842
CCDC149	chr4	24788514	24995204
LGI2	chr4	24983847	25045946
SEPSECS	chr4	25105014	25175550
PI4K2B	chr4	25145663	25294204
ZCCHC4	chr4	25297774	25385383
ANAPC4	chr4	25362263	25433498
SLC34A2	chr4	25633011	25693748
SEL1L3	chr4	25732433	25878760
SMIM20	chr4	25846830	25944813
RBPJ	chr4	26148455	26450131
CCKAR	chr4	26466396	26505484
TBC1D19	chr4	26561437	26771223
STIM2	chr4	26842601	27040381
PCDH7	chr4	30705369	31161805
ARAP2	chr4	35933221	36259514
DTHD1	chr4	36266616	36362511
NWD2	chr4	37229743	37464463
C4orf19	chr4	37438925	37638495
RELL1	chr4	37575800	37701376
PGM2	chr4	37811660	37877937
TBC1D1	chr4	37876084	38154175
PTTG2	chr4	37945398	37976128
KLF3	chr4	38649197	38716517
TLR10	chr4	38757238	38797990
TLR1	chr4	38775677	38871817
TLR6	chr4	38807897	38871817
FAM114A1	chr4	38852677	38960739
TMEM156	chr4	38951744	39047922
KLHL5	chr4	39030039	39141857
WDR19	chr4	39167504	39300810
RFC1	chr4	39272456	39381375
KLB	chr4	39391930	39466533
RPL9	chr4	39437587	39473931
LIAS	chr4	39444004	39500109
UGDH	chr4	39483755	39543311
SMIM14	chr4	39531336	39653902
UBE2K	chr4	39683109	39797792
PDS5A	chr4	39807863	39992956
N4BP2	chr4	40041797	40173252
RHOH	chr4	40176011	40261967
CHRNA9	chr4	40320333	40370217
RBM47	chr4	40408267	40645875
NSUN7	chr4	40734925	40826184
APBB2	chr4	40795027	41231714
ENSG00000289761	chr4	41128022	41158099
UCHL1	chr4	41241413	41283455
LIMCH1	chr4	41344607	41715044
PHOX2B	chr4	41729082	41763725
TMEM33	chr4	41920129	41975803
DCAF4L1	chr4	41966756	42001465
SLC30A9	chr4	41975502	42105461
BEND4	chr4	42095853	42167878
SHISA3	chr4	42382488	42417487
ATP8A1	chr4	42393373	42672121
GRXCR1	chr4	42877713	43045658
KCTD8	chr4	44158903	44463809
YIPF7	chr4	44607088	44693556
GUF1	chr4	44663420	44715928
GNPDA2	chr4	44667200	44741588
GABRG1	chr4	46020769	46139054
GABRA2	chr4	46228548	46490230
COX7B2	chr4	46719827	46924245
GABRA4	chr4	46903900	47008581
GABRB1	chr4	46978723	47441447
COMMD8	chr4	47435787	47478702
ATP10D	chr4	47470275	47608486
CORIN	chr4	47578999	47853106
NFXL1	chr4	47832233	47929667
NIPAL1	chr4	47899142	48055173
CNGA1	chr4	47920977	48031681
TXK	chr4	48051393	48149250
TEC	chr4	48120783	48284838
SLAIN2	chr4	48326529	48441201
SLC10A4	chr4	48468343	48504526
ZAR1	chr4	48475252	48509389
FRYL	chr4	48482357	48795322
OCIAD1	chr4	48790212	48876817
OCIAD2	chr4	48870019	48921937
CWH43	chr4	48971275	49077081
DCUN1D4	chr4	51828000	51931837
LRRC66	chr4	51978652	52035363
SGCB	chr4	52005706	52053299
SPATA18	chr4	52036304	52112299
USP46	chr4	52575960	52674301
ERVMER34-1	chr4	52707618	52766586
RASL11B	chr4	52847317	52881835
SCFD2	chr4	52857982	53381066
FIP1L1	chr4	53362569	53479382
ENSG00000282278	chr4	53362839	54310272
LNX1	chr4	53444301	53716405
CHIC2	chr4	53994789	54079605
GSX2	chr4	54084523	54117498
PDGFRA	chr4	54214280	54313245
KIT	chr4	54642267	54755783
KDR	chr4	55063481	55140595
SRD5A3	chr4	55331213	55388100
ENSG00000288695	chr4	55331228	55403368
TMEM165	chr4	55380957	55468397
CLOCK	chr4	55412903	55561909
PDCL2	chr4	55541519	55607245
NMU	chr4	55580229	55651698
EXOC1L	chr4	55804790	55852489
EXOC1	chr4	55838648	55920086
CEP135	chr4	55933871	56048361
CRACD	chr4	56034098	56345609
AASDH	chr4	56323287	56402508
PPAT	chr4	56378362	56450615
PAICS	chr4	56420741	56479578
SRP72	chr4	56452617	56518681
ARL9	chr4	56490209	56539959
THEGL	chr4	56515606	56618507
HOPX	chr4	56632989	56696877
SPINK2	chr4	56794860	56836742
REST	chr4	56892876	56981808
NOA1	chr4	56948350	56992606
POLR2B	chr4	56962722	57046158
IGFBP7	chr4	57015773	57125385
ADGRL3	chr4	61185326	62093335
TECRL	chr4	64260257	64424468
EPHA5	chr4	65304563	65685495
CENPC	chr4	67453762	67560503
STAP1	chr4	67543727	67622337
UBA6	chr4	67597652	67716155
GNRHR	chr4	67722118	67769388
TMPRSS11D	chr4	67805876	67899002
TMPRSS11A	chr4	67894395	67979140
TMPRSS11F	chr4	68038198	68144869
TMPRSS11B	chr4	68211653	68260694
YTHDC1	chr4	68295387	68365090
TMPRSS11E	chr4	68432463	68512604
UGT2B17	chr4	68522173	68591413
UGT2B15	chr4	68631597	68685652
UGT2B10	chr4	68800994	68847023
UGT2A3	chr4	68913463	68966804
UGT2B7	chr4	69036363	69127987
UGT2B11	chr4	69184951	69229748
UGT2B28	chr4	69265475	69310050
UGT2B4	chr4	69465165	69541014
UGT2A2	chr4	69573417	69654642
UGT2A1	chr4	69573417	69668249
SULT1B1	chr4	69706167	69802961
ENSG00000284695	chr4	69795780	69862786
SULT1E1	chr4	69826212	69875145
CSN1S1	chr4	69916068	69961574
CSN2	chr4	69940256	69980728
STATH	chr4	69980966	70017570
HTN3	chr4	70013455	70051538
HTN1	chr4	70035438	70073848
PRR27	chr4	70118616	70191799
ODAM	chr4	70180725	70219576
FDCSP	chr4	70211124	70250252
CSN3	chr4	70223382	70266474
CABS1	chr4	70319981	70352116
SMR3A	chr4	70345760	70382158
SMR3B	chr4	70355093	70405244
OPRPN	chr4	70382931	70425195
MUC7	chr4	70415492	70497997
AMTN	chr4	70503569	70547743
AMBN	chr4	70577256	70622288
ENAM	chr4	70613744	70661824
JCHAIN	chr4	70640541	70696817
UTP3	chr4	70673532	70705551
RUFY3	chr4	70689204	70823619
GRSF1	chr4	70800783	70854897
MOB1B	chr4	70887326	71037449
DCK	chr4	70977538	71045914
SLC4A4	chr4	71047667	71587087
GC	chr4	71726696	71819041
NPFFR2	chr4	72016902	72163305
ADAMTS3	chr4	72265969	72584221
COX18	chr4	73037362	73084755
ANKRD17	chr4	73058376	73273798
ALB	chr4	73382114	73436482
AFP	chr4	73416138	73471174
AFM	chr4	73466745	73519001
RASSF6	chr4	73556550	73635631
CXCL8	chr4	73725519	73758716
CXCL6	chr4	73821640	73864064
PF4V1	chr4	73838296	73869483
CXCL1	chr4	73854393	73886308
PF4	chr4	73965811	73997027
ENSG00000288796	chr4	73966074	74003190
PPBP	chr4	73971439	74003190
CXCL5	chr4	73980642	74013677
CXCL3	chr4	74021589	74053807
CXCL2	chr4	74082040	74114196
MTHFD2L	chr4	74099174	74318099
EPGN	chr4	74293470	74331789
EREG	chr4	74350145	74403749
AREG	chr4	74430136	74470005
BTC	chr4	74729759	74809523
PARM1	chr4	74918095	75065115
RCHY1	chr4	75464033	75529764
THAP6	chr4	75498946	75565473
ODAPH	chr4	75541048	75580871
CDKL2	chr4	75561496	75645716
G3BP2	chr4	75626849	75739589
USO1	chr4	75709577	75829286
PPEF2	chr4	75844864	75917571
NAAA	chr4	75898660	75956013
SDAD1	chr4	75925950	76005962
CXCL9	chr4	75986275	76022509
ART3	chr4	75996184	76129048
CXCL10	chr4	76006118	76038497
CXCL11	chr4	76018682	76056415
NUP54	chr4	76092562	76163485
SCARB2	chr4	76143737	76249536
FAM47E	chr4	76199040	76298783
FAM47E-STBD1	chr4	76236721	76326129
STBD1	chr4	76291733	76326130
CCDC158	chr4	76297997	76436868
SHROOM3	chr4	76420229	76798253
SOWAHB	chr4	76879152	76913144
SEPTIN11	chr4	76934751	77055384
CCNI	chr4	77032155	77091309
CCNG2	chr4	77142207	77448388
CXCL13	chr4	77496753	77626834
CNOT6L	chr4	77698387	77834615
MRPL1	chr4	77847830	77967785
FRAS1	chr4	78042323	78559269
ANXA3	chr4	78536747	78625451
BMP2K	chr4	78761342	78931365
PAQR3	chr4	78872127	78954438
NAA11	chr4	79210694	79341061
GK2	chr4	79391361	79423228
ANTXR2	chr4	79886146	80140454
PRDM8	chr4	80168879	80219329
FGF5	chr4	80251639	80351680
CFAP299	chr4	80320730	80978750
BMP3	chr4	81015708	81072627
PRKG2	chr4	81072370	81230222
RASGEF1B	chr4	81411393	82059244
HNRNPD	chr4	82337498	82389503
HNRNPDL	chr4	82407565	82445462
ENOPH1	chr4	82415590	82476177
TMEM150C	chr4	82468170	82577357
SCD5	chr4	82614539	82813796
SEC31A	chr4	82803509	82916166
THAP9	chr4	82885684	82934969
LIN54	chr4	82894973	83027926
COPS4	chr4	83019447	83090818
PLAC8	chr4	83075048	83152075
COQ2	chr4	83246536	83299914
HPSE	chr4	83277461	83350153
HELQ	chr4	83392343	83470855
MRPS18C	chr4	83440932	83484735
ABRAXAS1	chr4	83444517	83538348
GPAT3	chr4	83520914	83620875
NKX6-1	chr4	84476985	84514292
CDS1	chr4	84568127	84666334
WDFY3	chr4	84653765	84981690
ARHGAP24	chr4	85460150	86017668
MAPK10	chr4	85975007	86609625
PTPN13	chr4	86579315	86830171
SLC10A6	chr4	86808468	86864384
C4orf36	chr4	86861205	86907422
ENSG00000285458	chr4	86871472	86951178
AFF1	chr4	86920002	87156039
KLHL8	chr4	87145103	87255314
HSD17B13	chr4	87288789	87337886
HSD17B11	chr4	87321515	87406188
NUDT9	chr4	87407573	87474455
SPARCL1	chr4	87458335	87546061
DSPP	chr4	87593529	87631873
DMP1	chr4	87635280	87679361
IBSP	chr4	87784554	87827435
MEPE	chr4	87806398	87861814
SPP1	chr4	87960667	87998532
PKD2	chr4	87992635	88092777
ABCG2	chr4	88075150	88246628
PPM1K	chr4	88242620	88299769
HERC6	chr4	88363739	88458097
HERC5	chr4	88442119	88521163
PYURF	chr4	88505998	88538776
PIGY	chr4	88505998	88538776
HERC3	chr4	88508810	88723450
HERC3	chr4	88577434	88723541
NAP1L5	chr4	88680913	88712829
FAM13A	chr4	88710955	89126398
TIGD2	chr4	89096533	89129901
GPRIN3	chr4	89221383	89322800
SNCA	chr4	89685345	89853315
MMRN1	chr4	89864532	89969629
CCSER1	chr4	90112394	91620295
GRID2	chr4	92288966	93825157
ATOH1	chr4	93813753	93845964
SMARCAD1	chr4	94192611	94306292
HPGDS	chr4	94283535	94357876
PDLIM5	chr4	94436857	94683227
BMPR1B	chr4	94742955	95173448
UNC5C	chr4	95147504	95564206
PDHA2	chr4	95825093	95856464
STPG2	chr4	97169093	98158476
RAP1GDS1	chr4	98246384	98458858
TSPAN5	chr4	98455367	98673611
EIF4E	chr4	98864276	98944133
METAP1	chr4	98980659	99077809
ADH5	chr4	99055978	99103801
ADH4	chr4	99108657	99172792
ADH6	chr4	99187638	99234537
ADH1A	chr4	99261369	99306003
ADH1B	chr4	99289971	99336401
ADH1C	chr4	99321497	99367746
ADH7	chr4	99397261	99450510
C4orf17	chr4	99496012	99557303
TRMT10A	chr4	99531709	99579039
MTTP	chr4	99549081	99638997
C4orf54	chr4	99621529	99672828
DAPP1	chr4	99801827	99885190
LAMTOR3	chr4	99863336	99909428
DNAJB14	chr4	99881248	99961618
H2AZ1	chr4	99933086	99965355
DDIT4L	chr4	100170870	100205782
EMCN	chr4	100380341	100895126
PPP3CA	chr4	101008409	101363278
BANK1	chr4	101396286	102089812
SLC39A8	chr4	102236080	102446258
NFKB1	chr4	102486330	102632302
MANBA	chr4	102615770	102775994
UBE2D3	chr4	102779383	102883896
CISD2	chr4	102853974	102907807
SLC9B1	chr4	102870048	103034719
SLC9B2	chr4	103004868	103100829
BDH2	chr4	103062592	103114870
CENPE	chr4	103090349	103213445
TACR3	chr4	103571031	103734985
CXXC4	chr4	104453308	104509901
TET2	chr4	105130875	105294816
PPA2	chr4	105354077	105489067
ARHGEF38	chr4	105537620	105723093
INTS12	chr4	105667627	105910986
GSTCD	chr4	105693778	105862725
NPNT	chr4	105879775	106019027
TBCK	chr4	106026599	106331683
AIMP1	chr4	106300544	106364456
GIMD1	chr4	106342392	106383778
DKK2	chr4	106906802	107298806
PAPSS1	chr4	107575276	107735234
SGMS2	chr4	107809563	107930047
CYP2U1	chr4	107916549	107968461
HADH	chr4	107974714	108050241
LEF1	chr4	108032545	108183956
RPL34	chr4	108605569	108645412
OSTC	chr4	108635585	108682820
ETNPPL	chr4	108727048	108778054
COL25A1	chr4	108793725	109317752
SEC24B	chr4	109418772	109555896
MCUB	chr4	109545209	109703719
CASP6	chr4	109673622	109718583
PLA2G12A	chr4	109694989	109745070
ENSG00000285330	chr4	109698916	109816999
CFI	chr4	109716008	109817150
GAR1	chr4	109800510	109839740
RRH	chr4	109812972	109864123
LRIT3	chr4	109833107	109887315
EGF	chr4	109897883	110028766
ELOVL6	chr4	110030846	110214199
ENPEP	chr4	110350733	110580285
PITX2	chr4	110602423	110657123
FAM241A	chr4	112130454	112210256
AP1AR	chr4	112216740	112288110
TIFA	chr4	112257968	112300955
ALPK1	chr4	112270509	112457621
NEUROG2	chr4	112498516	112531180
ZGRF1	chr4	112524333	112651995
LARP7	chr4	112622077	112672696
ANK2	chr4	112803032	113399221
CAMK2D	chr4	113403054	113776927
ARSJ	chr4	113885284	113994727
UGT8	chr4	114583770	114693225
NDST4	chr4	114812763	115128876
TRAM1L1	chr4	117068554	117100576
NDST3	chr4	118018618	118273634
PRSS12	chr4	118265038	118368003
METTL14	chr4	118670392	118730433
SEC24D	chr4	118707823	118853683
SYNPO2	chr4	118835688	119076247
MYOZ2	chr4	119120832	119202789
USP53	chr4	119197587	119310518
C4orf3	chr4	119281419	119319445
FABP2	chr4	119302250	119337138
PDE5A	chr4	119479397	119643804
MAD2L1	chr4	120040623	120081858
PRDM5	chr4	120669919	120937870
NDNF	chr4	121020613	121088021
TNIP3	chr4	121116408	121242466
QRFPR	chr4	121313642	121396059
ANXA5	chr4	121652946	121711995
SMIM43	chr4	121743881	121780427
EXOSC9	chr4	121786318	121832021
CCNA2	chr4	121801444	121838883
BBS7	chr4	121809329	121885487
TRPC3	chr4	121859481	121967060
BLTP1	chr4	122137331	122379167
ADAD1	chr4	122363966	122444802
IL2	chr4	122436470	122471725
IL21	chr4	122595108	122636066
BBS12	chr4	122717702	122759942
FGF2	chr4	122811682	122913236
NUDT6	chr4	122873697	122937968
SPATA5	chr4	122908070	123334433
SPRY1	chr4	123381795	123418760
ANKRD50	chr4	124649048	124727732
FAT4	chr4	125299918	125507932
INTU	chr4	127608271	127741737
SLC25A31	chr4	127715400	127789292
HSPA4L	chr4	127766821	127855733
PLK4	chr4	127865893	127914224
MFSD8	chr4	127902799	127981034
ABHD18	chr4	127950315	128054953
LARP1B	chr4	128046286	128237931
PGRMC2	chr4	128254237	128303829
JADE1	chr4	128794700	128890224
SCLT1	chr4	128849921	129108600
C4orf33	chr4	129078317	129131640
PCDH10	chr4	133134294	133223606
PABPC4L	chr4	134181333	134216789
PCDH18	chr4	137503918	137547494
SLC7A11	chr4	138149097	138257349
NOCT	chr4	139000781	139060939
ELF2	chr4	139013112	139192218
MGARP	chr4	139251165	139295225
NDUFC1	chr4	139251880	139317551
NAA15	chr4	139286446	139435033
RAB33B	chr4	139438232	139491609
SETD7	chr4	139480941	139621699
MGST2	chr4	139650768	139755745
MAML3	chr4	139701753	140169184
SCOC	chr4	140242286	140400728
CLGN	chr4	140373453	140442661
MGAT4D	chr4	140427262	140513377
ELMOD2	chr4	140509168	140568770
UCP1	chr4	140544431	140583961
TBC1D9	chr4	140605782	140771385
RNF150	chr4	140844807	141227877
ZNF330	chr4	141205887	141249697
IL15	chr4	141621583	141748987
INPP4B	chr4	142008160	142862432
USP38	chr4	143169917	143238874
GAB1	chr4	143321876	143489565
SMARCA5	chr4	143498702	143572486
FREM3	chr4	143562302	143715675
GYPE	chr4	143855864	143920563
GYPB	chr4	143981104	144034380
GYPA	chr4	144094303	144155751
ENSG00000285713	chr4	144195701	145113174
HHIP	chr4	144631156	144760271
ANAPC10	chr4	144816908	145113541
ABCE1	chr4	145083288	145144524
OTUD4	chr4	145095838	145195589
SMAD1	chr4	145466194	145574176
MMAA	chr4	145584042	145675033
C4orf51	chr4	145665146	145786032
ZNF827	chr4	145742627	145953823
LSM6	chr4	146160703	146215000
REELD1	chr4	146199515	146247267
SLC10A7	chr4	146238975	146537372
POU4F2	chr4	146623893	146657474
TTC29	chr4	146691617	146960882
EDNRA	chr4	147465917	147559954
TMEM184C	chr4	147602386	147687044
PRMT9	chr4	147622785	147699163
ARHGAP10	chr4	147717063	148087776
NR3C2	chr4	148063762	148459698
IQCM	chr4	149336709	149911233
DCLK2	chr4	150063445	150272438
LRBA	chr4	150249435	151030727
MAB21L2	chr4	150567151	150599693
RPS3A	chr4	151084624	151119642
SH3D19	chr4	151087751	151340605
PRSS48	chr4	151262161	151306862
FHIP1A	chr4	151394176	151685503
GATB	chr4	151655504	151776007
FBXW7	chr4	152305544	152551092
TMEM154	chr4	152603628	152695012
TIGD4	chr4	152754354	152794730
ARFIP1	chr4	152764937	152933463
FHDC1	chr4	152921323	152994671
TRIM2	chr4	153137163	153354319
ENSG00000288637	chr4	153137435	153430081
MND1	chr4	153329649	153430118
TMEM131L	chr4	153451346	153651711
TLR2	chr4	153669070	153721260
RNF175	chr4	153695160	153775024
SFRP2	chr4	153765591	153804083
DCHS2	chr4	154216742	154506799
PLRG1	chr4	154520005	154565400
FGB	chr4	154548011	154587807
FGA	chr4	154568126	154605742
FGG	chr4	154589134	154627967
LRAT	chr4	154611945	154768120
RBM46	chr4	154766213	154843813
NPY2R	chr4	155193636	155232078
MAP9	chr4	155327658	155391970
GUCY1A1	chr4	155651726	155752059
GUCY1B1	chr4	155743992	155822811
ASIC5	chr4	155814729	155881277
TDO2	chr4	155839738	155935406
CTSO	chr4	155906580	155968912
PDGFC	chr4	156745454	156986799
GLRB	chr4	157061125	157187090
GRIA2	chr4	157189182	157402146
GASK1B	chr4	158109474	158188318
TMEM144	chr4	158186604	158270416
RXFP1	chr4	158300311	158668372
C4orf46	chr4	158651675	158687255
ETFDH	chr4	158656968	158725742
PPID	chr4	158694127	158738396
FNIP2	chr4	158754026	158923050
C4orf45	chr4	158878134	159053760
RAPGEF2	chr4	159088013	159375174
FSTL5	chr4	161368897	162179004
NAF1	chr4	163095073	163181890
NPY1R	chr4	163308962	163359832
NPY5R	chr4	163328892	163366934
TKTL2	chr4	163456095	163488754
TMA16	chr4	163479442	163535539
MARCHF1	chr4	163509298	164399050
SMIM31	chr4	164739064	164818795
APELA	chr4	164862178	164913965
TRIM61	chr4	164939446	164992668
TRIM60	chr4	165001458	165056749
TRIM75	chr4	165038866	165075554
TMEM192	chr4	165055608	165223549
KLHL2	chr4	165192561	165338156
GK3	chr4	165262807	165294704
MSMO1	chr4	165312667	165358164
CPE	chr4	165346194	165513547
TLL1	chr4	165858237	166119457
SPOCK3	chr4	166718384	167249796
ANXA10	chr4	168077537	168202736
DDX60	chr4	168201291	168333883
DDX60L	chr4	168341735	168552786
PALLD	chr4	168482052	168943457
CBR4	chr4	168848770	169025275
SH3RF1	chr4	169079259	169285956
NEK1	chr4	169354704	169627632
CLCN3	chr4	169597633	169738673
HPF1	chr4	169714470	169772944
MFAP3L	chr4	169971597	170048031
AADAT	chr4	170045222	170106699
GALNTL6	chr4	171797254	173056559
GALNT7	chr4	173153811	173338967
HMGB2	chr4	173316376	173349432
SAP30	chr4	173354969	173392532
SCRG1	chr4	173369701	173421380
HAND2	chr4	173509969	173545229
FBXO8	chr4	174221658	174298667
CEP44	chr4	174268730	174348380
HPGD	chr4	174475175	174538154
GLRA3	chr4	174621920	174844247
ADAM29	chr4	174814668	174993180
GPM6A	chr4	175617934	176017664
WDR17	chr4	176050841	176197818
SPATA4	chr4	176169579	176210585
ASB5	chr4	176198673	176292571
SPCS3	chr4	176304966	176347245
VEGFC	chr4	176668538	176807922
NEIL3	chr4	177294874	177377936
AGA	chr4	177415774	177457437
TENM3	chr4	182128987	182818024
DCTD	chr4	182875060	182932936
WWC2	chr4	183084257	183335777
CLDN22	chr4	183303100	183335276
CLDN24	chr4	183306764	183337426
CDKN2AIP	chr4	183429635	183464064
ING2	chr4	183490058	183527429
RWDD4	chr4	183624635	183674203
TRAPPC11	chr4	183644267	183728594
STOX2	chr4	183782692	184038526
ENPP6	chr4	184073706	184236230
IRF2	chr4	184370702	184489558
CASP3	chr4	184612696	184665062
PRIMPOL	chr4	184634667	184709963
CENPU	chr4	184679085	184749130
ACSL1	chr4	184740595	184841818
HELT	chr4	185003490	185035953
SLC25A4	chr4	185128266	185165382
CFAP97	chr4	185144665	185224504
SNX25	chr4	185189237	185385185
LRP2BP	chr4	185348872	185410924
ANKRD37	chr4	185381021	185415628
UFSP2	chr4	185384537	185440979
C4orf47	chr4	185411249	185464826
CCDC110	chr4	185430182	185486752
PDLIM3	chr4	185485660	185550507
SORBS2	chr4	185570444	185971652
TLR3	chr4	186053911	186103073
FAM149A	chr4	186089419	186190337
CYP4V2	chr4	186176567	186228463
ENSG00000290316	chr4	186193979	186273469
KLKB1	chr4	186211438	186273471
F11	chr4	186251189	186304681
ENSG00000272297	chr4	186411546	186570328
MTNR1A	chr4	186511792	186570567
FAT1	chr4	186572794	186741722
ZFP42	chr4	187980771	188020046
TRIML2	chr4	188076272	188124603
TRIML1	chr4	188124441	188162743
FRG1	chr4	189925870	189978202
FRG2	chr4	190009367	190042257
DUX4	chr4	190158774	190200942
PLEKHG4B	chr5	77168	204972
LRRC14B	chr5	176495	211334
CCDC127	chr5	181868	233153
ENSG00000286001	chr5	203298	329955
SDHA	chr5	203303	272082
PDCD6	chr5	256621	329974
PDCD6-AHRR	chr5	256670	453291
AHRR	chr5	306714	453291
EXOC3	chr5	428175	486937
SLC9A3	chr5	455456	539449
CEP72	chr5	597340	682168
TPPP	chr5	644862	708352
ZDHHC11B	chr5	695355	799729
ZDHHC11	chr5	780605	873973
BRD9	chr5	835291	907801
TRIP13	chr5	877884	934357
NKD2	chr5	993802	1053943
SLC12A7	chr5	1035384	1127063
SLC6A19	chr5	1186595	1240111
SLC6A18	chr5	1210381	1261189
TERT	chr5	1238147	1310068
CLPTM1L	chr5	1302752	1360099
SLC6A3	chr5	1377794	1460440
LPCAT1	chr5	1441480	1538962
MRPL36	chr5	1783385	1816366
NDUFS6	chr5	1786407	1831048
IRX4	chr5	1862413	1902236
IRX2	chr5	2730845	2766677
IRX1	chr5	3580832	3616403
ADAMTS16	chr5	5125330	5335304
ICE1	chr5	5405664	5505220
MED10	chr5	6356874	6393571
UBE2QL1	chr5	6433859	6511723
NSUN2	chr5	6584239	6648291
SRD5A1	chr5	6618427	6689386
TENT4A	chr5	6698432	6772044
ADCY2	chr5	7381138	7845081
CFAP90	chr5	7815378	7866151
MTRR	chr5	7836186	7921025
FASTKD3	chr5	7844159	7884037
SEMA5A	chr5	9020033	9561075
TAS2R1	chr5	9612347	9727378
ATPSCKMT	chr5	10210507	10264897
CCT5	chr5	10234929	10281389
CMBL	chr5	10260875	10322902
MARCHF6	chr5	10338695	10455388
ROPN1L	chr5	10426524	10487029
ANKRD33B	chr5	10549070	10672816
DAP	chr5	10664230	10776234
CTNND2	chr5	10956836	11919446
DNAH5	chr5	13675328	14026818
TRIO	chr5	14128342	14547128
OTULINL	chr5	14566792	14631180
OTULIN	chr5	14649664	14714850
ANKH	chr5	14689800	14886778
FBXL7	chr5	15485180	15954795
MARCHF11	chr5	16052139	16195762
ZNF622	chr5	16436519	16480800
RETREG1	chr5	16458038	16632101
MYO10	chr5	16646907	16951288
BASP1	chr5	17050598	17291843
LINC02218	chr5	17429010	17502371
H3Y2	chr5	17475967	17507076
TAF11L2	chr5	17483231	17513827
TAF11L3	chr5	17503367	17533963
TAF11L4	chr5	17506801	17537397
TAF11L5	chr5	17510235	17540831
TAF11L6	chr5	17513669	17544265
TAF11L7	chr5	17570162	17600758
TAF11L8	chr5	17575364	17605960
TAF11L9	chr5	17578798	17609394
TAF11L10	chr5	17582232	17612828
TAF11L11	chr5	17589177	17620910
TAF11L12	chr5	17595496	17626583
TAF11L13	chr5	17617088	17647684
TAF11L14	chr5	17619460	17650053
H3Y1	chr5	17639868	17670849
CDH18	chr5	19456296	20590873
CDH12	chr5	21735673	22868344
PRDM9	chr5	23428586	23543093
CDH10	chr5	24472100	24659978
CDH9	chr5	26865597	27136150
CDH6	chr5	31178686	31344146
DROSHA	chr5	31385494	31547196
C5orf22	chr5	31517287	31570053
PDZD2	chr5	31624131	32125932
GOLPH3	chr5	32109716	32189319
MTMR12	chr5	32211994	32327987
ZFR	chr5	32339350	32459740
SUB1	chr5	32516633	32619079
NPR3	chr5	32674070	32806724
TARS1	chr5	33425696	33483091
ADAMTS12	chr5	33508535	33907019
RXFP3	chr5	33921386	33953918
SLC45A2	chr5	33929623	33999693
AMACR	chr5	33971165	34023104
C1QTNF3-AMACR	chr5	33972174	34139528
ENSG00000289791	chr5	33982007	34023084
C1QTNF3	chr5	34002858	34058213
RAI14	chr5	34641328	34847612
TTC23L	chr5	34823833	34915511
RAD1	chr5	34890260	34933989
BRIX1	chr5	34900677	34940996
DNAJC21	chr5	34914559	34973964
AGXT2	chr5	34983101	35063135
PRLR	chr5	35033756	35245487
SPEF2	chr5	35602844	35829611
IL7R	chr5	35837695	35894603
CAPSL	chr5	35889288	35953779
UGT3A1	chr5	35936006	36016028
UGT3A2	chr5	36020021	36086358
LMBRD2	chr5	36083407	36166887
SKP2	chr5	36136989	36211849
NADK2	chr5	36177589	36257279
RANBP3L	chr5	36231913	36317114
SLC1A3	chr5	36581588	36703334
NIPBL	chr5	36861769	37081413
CPLANE1	chr5	37091228	37264376
NUP155	chr5	37273137	37386106
WDR70	chr5	37364285	37768435
GDNF	chr5	37797677	37855041
EGFLAM	chr5	38243409	38480480
LIFR	chr5	38459668	38623354
OSMR	chr5	38830858	38960596
RICTOR	chr5	38922920	39089402
FYB1	chr5	39090252	39289528
C9	chr5	39269140	39386324
DAB2	chr5	39356675	39477300
TTC33	chr5	40497333	40770963
PTGER4	chr5	40664915	40708735
PRKAA1	chr5	40744389	40813374
RPL37	chr5	40810262	40850222
CARD6	chr5	40826308	40875175
C7	chr5	40894492	41035216
MROH2B	chr5	40983017	41086342
C6	chr5	41127116	41276438
PLCXD3	chr5	41291952	41525601
OXCT1	chr5	41715065	41885425
RIMOC1	chr5	41889188	41936636
FBXO4	chr5	41910254	41956743
