gene_name	seqname	start	end	toy
CCDC150	chr2	196639554	196763490	0
GTF3C3	chr2	196763035	196799725	0
C2orf66	chr2	196804417	196809355	0
PGAP1	chr2	196833004	196927796	0
ANKRD44	chr2	196967017	197311173	0
SF3B1	chr2	197388515	197435079	0
COQ10B	chr2	197453493	197475310	0
HSPD1	chr2	197486584	197516737	0
HSPE1	chr2	197500140	197503449	0
HSPE1-MOB4	chr2	197500413	197550726	0
MOB4	chr2	197515571	197553699	0
RFTN2	chr2	197568224	197676045	0
MARS2	chr2	197705369	197708395	0
BOLL	chr2	197726879	197786762	0
PLCL1	chr2	197804593	198572581	0
SATB2	chr2	199269505	199471266	0
FTCDNL1	chr2	199760544	199851192	0
C2orf69	chr2	199911293	199955935	0
TYW5	chr2	199928913	199955736	0
MAIP1	chr2	199955317	200008540	0
SPATS2L	chr2	200305881	200482264	0
KCTD18	chr2	200488958	200519784	0
SGO2	chr2	200510008	200584096	0
AOX1	chr2	200586014	200677064	0
BZW1	chr2	200810594	200827338	0
CLK1	chr2	200853009	200864691	0
PPIL3	chr2	200870907	200889303	0
NIF3L1	chr2	200889327	200903938	0
ORC2	chr2	200908977	200963680	0
HYCC2	chr2	200973718	201071671	0
NDUFB3	chr2	201071433	201085750	0
CFLAR	chr2	201116154	201176687	0
CASP10	chr2	201182872	201229428	0
CASP8	chr2	201233443	201361836	2
FLACC1	chr2	201288271	201357398	0
TRAK2	chr2	201377207	201451500	0
STRADB	chr2	201387858	201480846	0
C2CD6	chr2	201487421	201619178	0
TMEM237	chr2	201620184	201643570	0
MPP4	chr2	201644870	201698694	0
ALS2	chr2	201700267	201782112	0
CDK15	chr2	201790461	201895550	0
FZD7	chr2	202033855	202038441	0
KIAA2012	chr2	202073255	202205188	0
SUMO1	chr2	202206182	202238599	0
NOP58	chr2	202265736	202303661	0
BMPR2	chr2	202376327	202567751	0
ENSG00000289490	chr2	202377112	202377168	0
FAM117B	chr2	202634969	202769757	0
ICA1L	chr2	202773150	202871766	0
WDR12	chr2	202874261	203014798	2
CARF	chr2	202912214	202988263	0
NBEAL1	chr2	203014608	203226378	0
CYP20A1	chr2	203238977	203306026	0
ABI2	chr2	203328280	203447728	0
RAPH1	chr2	203394345	203535335	0
CD28	chr2	203706475	203738912	0
CTLA4	chr2	203853888	203873965	0
ICOS	chr2	203936763	203961577	0
PARD3B	chr2	204545475	205620162	0
NRP2	chr2	205681990	205798133	0
INO80D	chr2	205993721	206086303	0
NDUFS1	chr2	206114817	206159509	0
EEF1B2	chr2	206159585	206162928	0
CMKLR2	chr2	206175316	206218047	0
ZDBF2	chr2	206274663	206314427	0
ADAM23	chr2	206443532	206621127	0
FAM237A	chr2	206642487	206649365	0
DYTN	chr2	206651621	206721570	0
MDH1B	chr2	206737763	206765328	0
FASTKD2	chr2	206765357	206796189	0
CPO	chr2	206939518	206969474	0
KLF7	chr2	207074137	207173856	1
CREB1	chr2	207529737	207605988	0
METTL21A	chr2	207580631	207625928	2
CCNYL1	chr2	207711540	207761839	0
FZD5	chr2	207762598	207769906	0
PLEKHM3	chr2	207821288	208025527	0
CRYGD	chr2	208121607	208124524	0
CRYGC	chr2	208128137	208129828	0
CRYGB	chr2	208142573	208146158	0
CRYGA	chr2	208160740	208163589	0
C2orf80	chr2	208165343	208190030	0
IDH1	chr2	208236229	208266074	0
PIKFYVE	chr2	208266255	208358746	0
PTH2R	chr2	208359714	208854503	0
MAP2	chr2	209424047	209734147	0
UNC80	chr2	209771832	209999300	0
RPE	chr2	210002565	210022260	0
KANSL1L	chr2	210021421	210171409	0
ACADL	chr2	210187126	210225447	0
MYL1	chr2	210290150	210315174	0
LANCL1	chr2	210427131	210477652	0
CPS1	chr2	210477682	210679107	0
ERBB4	chr2	211375717	212538841	0
IKZF2	chr2	212999691	213152427	0
SPAG16	chr2	213284389	214410501	2
VWC2L	chr2	214411054	214578976	0
BARD1	chr2	214725646	214809683	0
ABCA12	chr2	214931542	215138626	0
ATIC	chr2	215311956	215349773	0
FN1	chr2	215360440	215436073	0
MREG	chr2	215942584	216034096	0
PECR	chr2	215996329	216082955	0
TMEM169	chr2	216081866	216102783	0
XRCC5	chr2	216107464	216206303	0
MARCHF4	chr2	216257865	216372483	0
SMARCAL1	chr2	216412383	216483053	0
RPL37A	chr2	216498825	216579180	0
IGFBP2	chr2	216632828	216664436	0
IGFBP5	chr2	216672105	216695549	2
TNP1	chr2	216859458	216860064	0
TNS1	chr2	217799588	218033982	2
RUFY4	chr2	218034960	218090584	0
CXCR2	chr2	218125289	218137251	0
CXCR1	chr2	218162841	218166962	0
ARPC2	chr2	218217141	218254356	0
GPBAR1	chr2	218259496	218263861	0
AAMP	chr2	218264129	218270178	0
PNKD	chr2	218269651	218346793	0
TMBIM1	chr2	218274197	218292586	0
CATIP	chr2	218356857	218368099	0
SLC11A1	chr2	218382029	218396894	0
CTDSP1	chr2	218397136	218405941	0
VIL1	chr2	218419121	218453295	0
USP37	chr2	218450251	218568351	0
CNOT9	chr2	218568580	218597080	0
PLCD4	chr2	218607855	218637184	0
ZNF142	chr2	218633329	218659655	0
BCS1L	chr2	218658764	218663443	0
RNF25	chr2	218663892	218672002	0
STK36	chr2	218672069	218702716	0
TTLL4	chr2	218710835	218755416	0
CYP27A1	chr2	218781749	218815293	0
PRKAG3	chr2	218822308	218832086	0
WNT6	chr2	218859805	218874233	0
WNT10A	chr2	218880852	218899581	0
CDK5R2	chr2	218959666	218962155	0
FEV	chr2	218981087	218985184	0
CRYBA2	chr2	218990189	218993422	0
CFAP65	chr2	219002846	219041527	0
IHH	chr2	219054424	219060921	0
NHEJ1	chr2	219069355	219160869	0
ENSG00000280537	chr2	219075329	219170827	0
SLC23A3	chr2	219161465	219170095	0
CNPPD1	chr2	219171897	219178106	0
RETREG2	chr2	219176225	219185475	0
ZFAND2B	chr2	219195237	219209651	0
ABCB6	chr2	219209772	219218994	0
ENSG00000284820	chr2	219209772	219222738	0
ATG9A	chr2	219219380	219229717	0
ANKZF1	chr2	219229783	219236679	0
GLB1L	chr2	219236598	219245478	0
STK16	chr2	219245455	219250337	0
TUBA4A	chr2	219249710	219277902	2
TUBA4B	chr2	219253243	219272197	2
DNAJB2	chr2	219279342	219286898	0
PTPRN	chr2	219289623	219309648	0
RESP18	chr2	219327407	219333177	0
DNPEP	chr2	219372043	219400022	0
DES	chr2	219418377	219426735	0
SPEG	chr2	219434843	219493629	2
ENSG00000286143	chr2	219491867	219498244	0
SPEGNB	chr2	219496131	219498287	0
GMPPA	chr2	219498865	219513898	0
ASIC4	chr2	219514170	219538772	0
CHPF	chr2	219538954	219543809	0
TMEM198	chr2	219543663	219550595	0
OBSL1	chr2	219550728	219571859	0
INHA	chr2	219569162	219575711	0
STK11IP	chr2	219597857	219616451	0
SLC4A3	chr2	219627394	219641980	2
EPHA4	chr2	221418027	221574202	0
PAX3	chr2	222199887	222298998	0
ENSG00000288658	chr2	222314148	222320155	0
SGPP2	chr2	222424543	222562621	0
FARSB	chr2	222566899	222656092	0
MOGAT1	chr2	222671658	222709930	0
ACSL3	chr2	222860942	222944639	2
KCNE4	chr2	223052190	223198399	0
SCG2	chr2	223596940	223602361	0
AP1S3	chr2	223667680	223838027	0
ENSG00000286239	chr2	223757258	223945299	1
WDFY1	chr2	223855716	223945357	1
MRPL44	chr2	223957463	223967714	0
SERPINE2	chr2	223975045	224039318	0
FAM124B	chr2	224378698	224402107	0
CUL3	chr2	224470150	224585397	0
CCDC195	chr2	224703764	224716365	0
DOCK10	chr2	224765090	225042468	0
NYAP2	chr2	225399710	225729887	0
IRS1	chr2	226731312	226799820	0
RHBDD1	chr2	226835581	226999215	0
COL4A4	chr2	227002714	227164453	0
COL4A3	chr2	227164624	227314792	0
MFF	chr2	227325151	227357833	0
TM4SF20	chr2	227362038	227381995	0
SCYGR1	chr2	227387683	227387949	0
AGFG1	chr2	227472152	227561217	0
SCYGR2	chr2	227598893	227599255	0
SCYGR10	chr2	227608784	227609101	0
SCYGR3	chr2	227614538	227614840	0
SCYGR4	chr2	227617498	227617815	0
SCYGR5	chr2	227666804	227667061	0
SLC19A3	chr2	227683763	227718028	0
SCYGR6	chr2	227724440	227724757	0
SCYGR7	chr2	227728335	227728625	0
SCYGR8	chr2	227745894	227746220	0
CCL20	chr2	227805739	227817564	0
DAW1	chr2	227871054	227924344	0
SPHKAP	chr2	227979955	228181687	0
PID1	chr2	228850526	229271287	0
DNER	chr2	229357629	229714555	0
TRIP12	chr2	229763837	229923239	0
FBXO36	chr2	229922302	230013119	0
SLC16A14	chr2	230034982	230068993	0
SP110	chr2	230165186	230225729	0
SP140	chr2	230203110	230313215	0
SP140L	chr2	230327184	230403732	0
SP100	chr2	230415942	230545606	0
CAB39	chr2	230712842	230821075	0
ITM2C	chr2	230864639	230879248	0
GPR55	chr2	230907318	230961066	0
SPATA3	chr2	230990324	231025055	0
C2orf72	chr2	231037523	231049719	0
PSMD1	chr2	231056845	231173116	0
HTR2B	chr2	231108230	231125042	0
ARMC9	chr2	231198546	231376848	0
B3GNT7	chr2	231395710	231401164	0
NCL	chr2	231453531	231483641	0
NMUR1	chr2	231523187	231530445	0
TEX44	chr2	231592864	231594276	0
PTMA	chr2	231706895	231713551	0
PDE6D	chr2	231732433	231786272	0
COPS7B	chr2	231781671	231809254	0
NPPC	chr2	231921809	231926396	0
DIS3L2	chr2	231961245	232344350	0
ALPP	chr2	232378724	232382889	0
ALPG	chr2	232406844	232410714	0
ALPI	chr2	232456125	232460753	0
ECEL1	chr2	232479827	232487834	0
PRSS56	chr2	232520388	232525716	0
CHRND	chr2	232525993	232536667	0
CHRNG	chr2	232539692	232548115	2
TIGD1	chr2	232543883	232550557	2
EIF4E2	chr2	232550659	232583644	0
EFHD1	chr2	232606057	232682776	0
GIGYF2	chr2	232697299	232860605	0
KCNJ13	chr2	232765802	232776565	0
SNORC	chr2	232857270	232878708	0
NGEF	chr2	232878701	233013256	1
NEU2	chr2	233032672	233035057	0
INPP5D	chr2	233059967	233207903	0
ATG16L1	chr2	233210051	233295674	0
SAG	chr2	233307816	233347055	0
DGKD	chr2	233354494	233472104	2
USP40	chr2	233475526	233566782	0
UGT1A8	chr2	233617633	233773300	2
UGT1A10	chr2	233636448	233773300	2
UGT1A9	chr2	233671898	233773300	2
UGT1A7	chr2	233681901	233773300	2
UGT1A6	chr2	233691607	233773300	2
UGT1A5	chr2	233712907	233773300	2
UGT1A4	chr2	233718736	233773300	2
UGT1A3	chr2	233729042	233773300	0
UGT1A1	chr2	233760270	233773300	0
MROH2A	chr2	233775679	233833423	0
HJURP	chr2	233833416	233854566	0
TRPM8	chr2	233917373	234019522	0
SPP2	chr2	234050679	234077134	0
ARL4C	chr2	234493041	234497081	0
SH3BP4	chr2	234952017	235055714	0
AGAP1	chr2	235494043	236131793	2
GBX2	chr2	236165236	236168386	0
ASB18	chr2	236193459	236264409	0
IQCA1	chr2	236324147	236507535	0
ACKR3	chr2	236567787	236582354	0
COPS8	chr2	237085882	237100474	0
COL6A3	chr2	237324003	237414328	0
MLPH	chr2	237485428	237555322	0
PRLH	chr2	237566574	237567175	0
RAB17	chr2	237574322	237601614	0
LRRFIP1	chr2	237627587	237813682	0
RBM44	chr2	237798389	237842808	0
RAMP1	chr2	237858893	237912106	0
UBE2F	chr2	237966827	238042782	0
UBE2F-SCLY	chr2	237967014	238099412	0
SCLY	chr2	238060924	238099413	0
ESPNL	chr2	238100340	238133287	0
KLHL30	chr2	238138668	238152947	2
ERFE	chr2	238158970	238168900	0
ILKAP	chr2	238170402	238203708	0
HES6	chr2	238238267	238240662	0
PER2	chr2	238244044	238290102	0
TRAF3IP1	chr2	238320441	238400897	0
ASB1	chr2	238426742	238452250	0
TWIST2	chr2	238848032	238910534	0
HDAC4	chr2	239048168	239401654	0
NDUFA10	chr2	239892450	240025743	0
OR6B2	chr2	240029491	240030429	0
OR6B3	chr2	240044571	240053521	0
COPS9	chr2	240126563	240136807	0
OTOS	chr2	240139026	240144562	0
GPC1	chr2	240435663	240468076	0
ANKMY1	chr2	240479422	240569209	0
DUSP28	chr2	240560054	240565256	0
RNPEPL1	chr2	240565804	240581372	0
CAPN10	chr2	240586734	240617705	0
GPR35	chr2	240605430	240633159	0
AQP12B	chr2	240676418	240682906	0
AQP12A	chr2	240691866	240698483	0
KIF1A	chr2	240713761	240824293	0
AGXT	chr2	240868824	240880502	0
MAB21L4	chr2	240886048	240896889	0
CROCC2	chr2	240906330	240993311	0
SNED1	chr2	240998618	241095568	0
MTERF4	chr2	241072169	241102332	0
PASK	chr2	241106099	241150264	0
PPP1R7	chr2	241149576	241183652	0
ANO7	chr2	241188509	241225976	0
HDLBP	chr2	241227264	241317061	0
SEPTIN2	chr2	241315100	241354027	0
FARP2	chr2	241356285	241494841	0
STK25	chr2	241492670	241509730	0
BOK	chr2	241551424	241574131	2
THAP4	chr2	241584405	241637158	0
ATG4B	chr2	241637213	241673857	0
DTYMK	chr2	241675747	241686944	0
ING5	chr2	241687085	241729478	0
D2HGDH	chr2	241734602	241768816	0
GAL3ST2	chr2	241776822	241804287	0
NEU4	chr2	241809065	241817413	0
PDCD1	chr2	241849884	241858894	0
RTP5	chr2	241869600	241873823	0
FAM240C	chr2	241893988	241902551	0
CHL1	chr3	196763	409417	0
CNTN6	chr3	1092658	1404217	0
CNTN4	chr3	2098813	3057959	1
IL5RA	chr3	3066324	3126613	0
TRNT1	chr3	3126933	3153435	0
CRBN	chr3	3144628	3179727	0
SUMF1	chr3	3700814	4467273	2
LRRN1	chr3	3799431	3849834	0
SETMAR	chr3	4303332	4317265	0
ITPR1	chr3	4493345	4847506	0
BHLHE40	chr3	4979437	4985323	0
ARL8B	chr3	5122249	5180911	0
EDEM1	chr3	5187646	5219958	0
GRM7	chr3	6770001	7741533	1
LMCD1	chr3	8501807	8574668	0
SSUH2	chr3	8619386	8745040	0
CAV3	chr3	8733802	8841808	0
OXTR	chr3	8750381	8769628	0
RAD18	chr3	8775402	8963773	0
SRGAP3	chr3	8980591	9363053	0
THUMPD3	chr3	9362971	9386791	0
SETD5	chr3	9397615	9479240	0
LHFPL4	chr3	9498361	9553822	0
MTMR14	chr3	9649433	9702393	0
CPNE9	chr3	9703826	9729908	0
BRPF1	chr3	9731729	9748019	0
OGG1	chr3	9749944	9788219	0
CAMK1	chr3	9757347	9769992	0
TADA3	chr3	9779967	9793011	0
ARPC4	chr3	9792495	9807101	0
ARPC4-TTLL3	chr3	9793082	9835401	0
TTLL3	chr3	9808086	9855138	0
RPUSD3	chr3	9837849	9844602	0
CIDEC	chr3	9866711	9880255	0
JAGN1	chr3	9890574	9894349	0
IL17RE	chr3	9902612	9916402	0
IL17RC	chr3	9917074	9933630	0
ENSG00000288550	chr3	9917116	9945385	0
CRELD1	chr3	9933793	9945413	0
PRRT3	chr3	9939450	9952408	0
EMC3	chr3	9962682	10011202	0
FANCD2	chr3	10026370	10101932	0
FANCD2OS	chr3	10081317	10108255	0
BRK1	chr3	10115675	10127190	0
VHL	chr3	10141778	10153667	0
IRAK2	chr3	10164919	10243745	0
TATDN2	chr3	10248023	10281218	0
ENSG00000289763	chr3	10249042	10249366	0
ENSG00000272410	chr3	10249372	10285796	0
GHRL	chr3	10285666	10292947	0
SEC13	chr3	10293131	10321112	0
ATP2B2	chr3	10324023	10708007	0
SLC6A11	chr3	10816201	10940714	0
SLC6A1	chr3	10992186	11039247	0
HRH1	chr3	11137093	11263557	0
ATG7	chr3	11272309	11557665	0
VGLL4	chr3	11556069	11771350	0
TAMM41	chr3	11790442	11846919	0
SYN2	chr3	12004388	12192032	2
TIMP4	chr3	12153068	12158912	0
PPARG	chr3	12287368	12434356	0
TSEN2	chr3	12484421	12541549	0
MKRN2OS	chr3	12514934	12561059	0
MKRN2	chr3	12557057	12586208	0
RAF1	chr3	12582101	12664201	0
TMEM40	chr3	12733528	12769457	0
CAND2	chr3	12796472	12834804	0
ENSG00000289809	chr3	12825768	12871919	2
RPL32	chr3	12834485	12841582	0
IQSEC1	chr3	12897043	13283281	0
NUP210	chr3	13316235	13420322	0
HDAC11	chr3	13479724	13506424	0
FBLN2	chr3	13549125	13638422	0
WNT7A	chr3	13816258	13880071	0
CHCHD4	chr3	14112077	14124870	0
TMEM43	chr3	14125015	14143680	0
ENSG00000268279	chr3	14135217	14148252	0
XPC	chr3	14145147	14178621	0
LSM3	chr3	14178817	14201122	0
SLC6A6	chr3	14402576	14489349	0
GRIP2	chr3	14489107	14556075	0
CCDC174	chr3	14651762	14672659	0
C3orf20	chr3	14675141	14773036	0
FGD5	chr3	14810853	14934571	0
NR2C2	chr3	14947583	15053600	0
MRPS25	chr3	15009611	15065339	0
RBSN	chr3	15070073	15099163	0
CAPN7	chr3	15206152	15252916	0
SH3BP5	chr3	15254353	15341368	0
METTL6	chr3	15381275	15440566	0
EAF1	chr3	15427598	15450635	0
COLQ	chr3	15450133	15521751	0
HACL1	chr3	15560699	15601852	0
BTD	chr3	15601341	15722311	0
ANKRD28	chr3	15667236	15859771	2
GALNT15	chr3	16174680	16231992	0
DPH3	chr3	16257061	16264969	0
OXNAD1	chr3	16265160	16350299	0
RFTN1	chr3	16313574	16514026	0
DAZL	chr3	16586792	16670306	0
PLCL2	chr3	16802651	17090604	0
TBC1D5	chr3	17157162	18444817	0
SATB1	chr3	18345377	18445621	0
KCNH8	chr3	19148510	19535642	0
EFHB	chr3	19879472	19947025	0
RAB5A	chr3	19947097	19985175	0
PP2D1	chr3	19979961	20012267	0
KAT2B	chr3	20040446	20154404	0
SGO1	chr3	20160593	20186206	0
ZNF385D	chr3	21412218	22373321	2
UBE2E2	chr3	23203020	23591794	0
UBE2E1	chr3	23805955	23891640	0
NKIRAS1	chr3	23889951	23946591	0
RPL15	chr3	23916591	23924374	0
NR1D2	chr3	23945286	23980617	0
THRB	chr3	24117153	24495756	0
RARB	chr3	24687887	25597932	2
TOP2B	chr3	25597978	25664909	0
NGLY1	chr3	25718944	25790039	0
OXSM	chr3	25782917	25794534	0
LRRC3B	chr3	26622772	26717537	0
NEK10	chr3	27106484	27369460	0
SLC4A7	chr3	27372721	27484420	0
EOMES	chr3	27715949	27722711	0
CMC1	chr3	28241584	28325142	0
AZI2	chr3	28315003	28349050	0
ZCWPW2	chr3	28348721	28538122	0
ENSG00000283563	chr3	28349178	29767537	1
RBMS3	chr3	28574791	30010391	1
TGFBR2	chr3	30606601	30694142	0
GADL1	chr3	30726197	30894661	0
STT3B	chr3	31532638	31637616	0
OSBPL10	chr3	31657912	32077580	0
ZNF860	chr3	31981750	31991723	0
GPD1L	chr3	32105689	32168709	0
CMTM8	chr3	32238679	32370321	0
CMTM7	chr3	32391698	32483067	0
CMTM6	chr3	32481312	32502852	0
DYNC1LI1	chr3	32525974	32570858	0
CNOT10	chr3	32685145	32773875	2
TRIM71	chr3	32817997	32897824	0
CCR4	chr3	32951644	32956349	0
GLB1	chr3	32996609	33097202	0
TMPPE	chr3	33090421	33097146	0
CRTAP	chr3	33114014	33147773	0
SUSD5	chr3	33150043	33218810	0
FBXL2	chr3	33277025	33403662	0
UBP1	chr3	33388336	33441371	0
CLASP2	chr3	33496245	33718356	0
PDCD6IP	chr3	33798571	33869707	0
ARPP21	chr3	35638945	35794496	0
STAC	chr3	36380503	36548007	0
DCLK3	chr3	36712421	36764553	0
TRANK1	chr3	36826819	36945057	0
EPM2AIP1	chr3	36985043	36993131	0
MLH1	chr3	36993226	37050896	0
LRRFIP2	chr3	37052626	37183689	0
GOLGA4	chr3	37243191	37366879	0
ITGA9	chr3	37452115	37823507	1
CTDSPL	chr3	37861880	37984469	0
VILL	chr3	37988059	38007188	0
PLCD1	chr3	38007496	38029642	0
DLEC1	chr3	38039205	38124025	0
ACAA1	chr3	38103129	38137242	0
MYD88	chr3	38138552	38143024	0
OXSR1	chr3	38165089	38255484	0
SLC22A13	chr3	38265812	38278757	0
SLC22A14	chr3	38282294	38318575	0
XYLB	chr3	38346760	38421348	0
ACVR2B	chr3	38453890	38493142	0
EXOG	chr3	38496127	38542161	0
SCN5A	chr3	38548057	38649687	0
SCN10A	chr3	38696802	38816286	0
SCN11A	chr3	38845764	39052157	0
WDR48	chr3	39052013	39096671	0
GORASP1	chr3	39095222	39108369	0
TTC21A	chr3	39107680	39138903	0
CSRNP1	chr3	39141855	39154562	0
XIRP1	chr3	39183210	39192596	0
CX3CR1	chr3	39263495	39281735	0
CCR8	chr3	39329709	39333680	0
SLC25A38	chr3	39383370	39397351	0
RPSA	chr3	39406716	39426255	0
MOBP	chr3	39467198	39529479	0
MYRIP	chr3	39808914	40260321	0
EIF1B	chr3	40309707	40312424	0
ENSG00000291315	chr3	40312086	40312214	0
ENTPD3	chr3	40387184	40428744	0
RPL14	chr3	40457292	40468587	0
ZNF619	chr3	40477113	40491053	0
ZNF620	chr3	40477131	40518736	0
ZNF621	chr3	40524878	40574685	0
CTNNB1	chr3	41194741	41260096	0
ULK4	chr3	41246599	41962130	0
TRAK1	chr3	42013802	42225890	0
CCK	chr3	42257825	42266185	0
LYZL4	chr3	42397083	42410610	0
VIPR1	chr3	42489299	42537573	2
SEC22C	chr3	42547969	42601080	0
SS18L2	chr3	42581840	42596934	0
NKTR	chr3	42600655	42648735	0
ZBTB47	chr3	42653697	42667580	0
KLHL40	chr3	42685537	42692544	0
HHATL	chr3	42692663	42702824	0
CCDC13	chr3	42705756	42773253	0
ENSG00000280571	chr3	42705756	42804518	2
HIGD1A	chr3	42782908	42804490	2
ACKR2	chr3	42804752	42887974	0
ENSG00000273291	chr3	42809446	43055871	0
ENSG00000290317	chr3	42809483	42942792	0
CYP8B1	chr3	42856005	42875898	0
ZNF662	chr3	42906142	42919334	0
KRBOX1	chr3	42936386	42942792	0
GASK1A	chr3	42979087	43067898	0
POMGNT2	chr3	43079229	43106085	0
SNRK	chr3	43286512	43424764	0
ANO10	chr3	43354859	43691594	0
ABHD5	chr3	43690108	43734371	0
TOPAZ1	chr3	44241886	44332098	0
TCAIM	chr3	44338119	44409451	0
ZNF445	chr3	44431705	44477670	0
ZNF852	chr3	44491880	44510636	0
ZKSCAN7	chr3	44555193	44594173	0
ZNF660	chr3	44578223	44599694	0
ZNF197	chr3	44584888	44648471	0
ZNF35	chr3	44648732	44660791	0
ZNF502	chr3	44712643	44723831	0
ZNF501	chr3	44729596	44737083	0
KIAA1143	chr3	44737661	44761619	0
KIF15	chr3	44761721	44873376	0
TMEM42	chr3	44861904	44865670	0
TGM4	chr3	44874608	44914990	0
ZDHHC3	chr3	44915257	44976185	0
EXOSC7	chr3	44975241	45036066	0
CLEC3B	chr3	45001548	45036071	0
CDCP1	chr3	45082277	45146422	0
TMEM158	chr3	45224466	45226287	0
LARS2	chr3	45388561	45554726	0
LIMD1	chr3	45555394	45686341	0
SACM1L	chr3	45689056	45745412	0
SLC6A20	chr3	45755449	45796574	0
LZTFL1	chr3	45823316	45916042	0
CCR9	chr3	45884425	45903174	0
FYCO1	chr3	45917903	45995824	0
CXCR6	chr3	45940933	45948351	0
XCR1	chr3	46016990	46085825	0
CCR3	chr3	46130890	46266706	0
CCR1	chr3	46201711	46208313	0
CCR2	chr3	46353864	46360940	0
CCR5	chr3	46370946	46376206	0
CCRL2	chr3	46407166	46412997	0
LTF	chr3	46435645	46485234	0
RTP3	chr3	46494611	46500950	0
LRRC2	chr3	46515385	46606948	0
TDGF1	chr3	46574534	46582457	0
ENSG00000283877	chr3	46581150	46617226	0
FAM240A	chr3	46612525	46626543	0
ALS2CL	chr3	46668995	46693704	0
TMIE	chr3	46694528	46710886	0
ENSG00000206549	chr3	46712115	46812574	0
PRSS50	chr3	46712117	46717869	0
MYL3	chr3	46835111	46882178	0
PTH1R	chr3	46877721	46903799	2
CCDC12	chr3	46921726	46982010	0
NBEAL2	chr3	46979666	47009704	0
SETD2	chr3	47016428	47164113	0
KIF9	chr3	47227998	47283451	0
KLHL18	chr3	47282917	47346816	0
PTPN23	chr3	47381011	47413435	2
SCAP	chr3	47413681	47477126	2
ELP6	chr3	47495640	47513712	0
CSPG5	chr3	47562238	47580792	0
SMARCC1	chr3	47585269	47782106	1
DHX30	chr3	47802909	47850195	0
MAP4	chr3	47850690	48089272	0
CDC25A	chr3	48157146	48188417	0
CAMP	chr3	48223347	48225491	0
ZNF589	chr3	48241100	48299253	0
NME6	chr3	48290722	48301685	0
SPINK8	chr3	48306842	48333661	0
FBXW12	chr3	48372219	48401259	0
PLXNB1	chr3	48403854	48430086	0
CCDC51	chr3	48432164	48440456	0
TMA7	chr3	48440257	48444208	0
ATRIP	chr3	48446710	48467645	0
TREX1	chr3	48465811	48467645	0
SHISA5	chr3	48467798	48504826	0
PFKFB4	chr3	48517684	48562015	0
UCN2	chr3	48561718	48563781	0
COL7A1	chr3	48564073	48595329	0
UQCRC1	chr3	48599002	48610976	0
TMEM89	chr3	48620759	48621769	0
SLC26A6	chr3	48625723	48635493	0
CELSR3	chr3	48636463	48662886	0
NCKIPSD	chr3	48673844	48686364	0
IP6K2	chr3	48688003	48740353	0
PRKAR2A	chr3	48744597	48847874	0
SLC25A20	chr3	48856926	48898904	0
ARIH2	chr3	48918821	48986382	0
P4HTM	chr3	48989889	49007153	0
WDR6	chr3	49007062	49015953	0
DALRD3	chr3	49015488	49022293	0
NDUFAF3	chr3	49020459	49023495	0
IMPDH2	chr3	49024325	49029447	0
ENSG00000290315	chr3	49024345	49094071	0
QRICH1	chr3	49029707	49094363	0
QARS1	chr3	49095932	49105130	0
USP19	chr3	49108046	49120938	0
LAMB2	chr3	49121114	49133118	0
CCDC71	chr3	49162535	49166331	0
KLHDC8B	chr3	49171598	49176486	0
C3orf84	chr3	49177634	49191858	0
IHO1	chr3	49198428	49258106	0
C3orf62	chr3	49268596	49277232	0
USP4	chr3	49277144	49340712	0
GPX1	chr3	49357174	49358605	0
ENSG00000290318	chr3	49357176	49412051	0
RHOA	chr3	49359139	49412998	0
TCTA	chr3	49412212	49416476	0
ENSG00000283189	chr3	49416777	49429314	0
AMT	chr3	49416778	49422685	0
NICN1	chr3	49422333	49429326	0
DAG1	chr3	49468713	49535618	0
BSN	chr3	49554477	49671549	0
APEH	chr3	49674014	49683971	0
MST1	chr3	49683947	49689501	0
RNF123	chr3	49689538	49721529	0
AMIGO3	chr3	49716829	49719684	0
GMPPB	chr3	49716844	49723973	0
IP6K1	chr3	49724294	49786542	0
CDHR4	chr3	49790732	49799873	0
INKA1	chr3	49803261	49805030	0
UBA7	chr3	49805209	49813953	0
TRAIP	chr3	49828601	49856574	0
CAMKV	chr3	49857988	49869935	0
MST1R	chr3	49887002	49903873	0
MON1A	chr3	49907160	49930173	0
RBM6	chr3	49940007	50100045	0
RBM5	chr3	50088919	50119021	0
SEMA3F	chr3	50155045	50189075	0
GNAT1	chr3	50191610	50197696	0
SLC38A3	chr3	50205246	50221486	0
GNAI2	chr3	50226292	50259362	2
SEMA3B	chr3	50267558	50277546	0
LSMEM2	chr3	50279087	50288114	0
IFRD2	chr3	50287732	50292918	0
HYAL3	chr3	50292831	50299405	0
NAA80	chr3	50296402	50299416	0
HYAL1	chr3	50299890	50312381	0
HYAL2	chr3	50317790	50322782	0
TUSC2	chr3	50320027	50328251	0
RASSF1	chr3	50329782	50340980	0
ZMYND10	chr3	50341110	50345732	0
NPRL2	chr3	50347330	50350826	0
CYB561D2	chr3	50350845	50358460	0
ENSG00000272104	chr3	50350892	50367923	0
TMEM115	chr3	50354750	50359521	0
CACNA2D2	chr3	50362613	50504244	2
C3orf18	chr3	50558025	50571027	0
HEMK1	chr3	50569152	50596168	0
CISH	chr3	50606489	50611774	0
MAPKAPK3	chr3	50611520	50649291	0
DOCK3	chr3	50674927	51384198	0
MANF	chr3	51385291	51389397	0
